# This file contains word-score pairings from the MRC Psycholinguistic Database.
# Words are scored on four attributes: Age of Aquisition, Concreteness, Familiarity, and Imagability

# Only words that have a Kucera-Francis written frequency of at least 38 are included, since
# the Database can only show a maximum of 5000 results per search

WORD                     AOA CNC FAM IMG

A                          - 201 632 217 
ABILITY                  453 273 563 327 
ABLE                       - 302 575 284 
ABOUT                      - 227 593 225 
ABOVE                      -   - 607 346 
ABROAD                     -   -   -   - 
ABSENCE                    -   -   -   - 
ACADEMIC                   -   -   -   - 
ACCEPT                     -   -   -   - 
ACCEPTANCE                 -   -   -   - 
ACCOMPLISHED               -   -   -   - 
ACCORDING                  -   -   -   - 
ACCOUNT                    - 365 523 361 
ACHIEVE                    -   -   -   - 
ACHIEVEMENT                -   -   -   - 
ACROSS                     -   -   -   - 
ACT                      319 379 566 433 
ACTING                     -   -   -   - 
ACTION                     -   -   -   - 
ACTIVE                     -   - 552 436 
ACTIVITY                   -   -   -   - 
ACTUAL                     -   - 589 259 
ACTUALLY                   -   -   -   - 
ADAM                       -   - 372 488 
ADD                        -   -   -   - 
ADDITION                 314 339 535 347 
ADDITIONAL                 -   - 489 303 
ADDRESS                    -   -   -   - 
ADEQUATE                   -   - 485 268 
ADMINISTRATION           561 331 502 413 
ADMINISTRATIVE             -   -   -   - 
ADVANCE                    -   -   -   - 
ADVANCED                   -   - 523 320 
ADVANTAGE                  - 282 562 292 
ADVICE                   425 291 566 352 
AFFORD                     -   -   -   - 
AFRAID                     - 336 575 451 
AFTER                      - 242 575 217 
AFTERNOON                281 406 655 513 
AGAIN                      -   -   -   - 
AGAINST                    -   - 600 285 
AGE                      258 390 582 468 
AGENCY                   553 426 420 366 
AGENT                      -   -   -   - 
AGO                        -   -   -   - 
AGREE                      -   -   -   - 
AGREEMENT                  - 327 541 367 
AGRICULTURAL               -   -   -   - 
AHEAD                      -   -   -   - 
AID                        - 372 536 413 
AIN'T                      -   -   -   - 
AIR                        - 518 608 450 
AIRCRAFT                   -   -   -   - 
ALEXANDER                  -   -   -   - 
ALIVE                      -   - 593 426 
ALL                        - 267 582 332 
ALLOTMENT                486 502 420 470 
ALLOW                      - 268 504 373 
ALLOWED                    -   -   -   - 
ALMOST                     -   -   -   - 
ALONE                      - 390 562 480 
ALONG                      -   -   -   - 
ALREADY                    -   -   -   - 
ALSO                       - 194 552 264 
ALTHOUGH                   - 218 573 208 
ALWAYS                     - 249 600 280 
AM                         - 259 603 247 
AMERICAN                   -   -   -   - 
AMONG                      -   -   -   - 
AMOUNT                   392 335 583 316 
AN                         - 217 595 195 
ANALYSIS                   -   -   -   - 
ANCIENT                    -   - 429 451 
AND                        - 220 620 226 
ANGER                      - 315 541 488 
ANGLE                      - 467 518 503 
ANGRY                      -   - 600 492 
ANIMAL                   222 587 620 575 
ANNUAL                     -   - 464 339 
ANODE                      -   -   -   - 
ANOTHER                    -   -   -   - 
ANSWER                   294 397 605 368 
ANXIETY                    - 241 548 422 
ANY                        - 222 542 206 
ANYBODY                  306 343 591 329 
ANYONE                     -   - 605 288 
ANYTHING                   -   -   -   - 
ANYWAY                     -   -   -   - 
ANYWHERE                   -   -   -   - 
APART                      - 304 555 364 
APARTMENT                522 575 491 556 
APPARENT                   -   - 531 266 
APPARENTLY                 -   -   -   - 
APPEAL                   431 333 514 402 
APPEAR                     - 271 534 341 
APPEARANCE                 - 358 578 425 
APPLICATION                -   -   -   - 
APPLIED                    -   -   -   - 
APPLY                      -   -   -   - 
APPOINTED                  -   -   -   - 
APPROACH                 444 323 508 329 
APPROPRIATE                -   -   -   - 
APPROVAL                 469 267 526 375 
APPROVED                   -   -   -   - 
APRIL                      -   -   -   - 
ARC                        - 471 397 494 
ARE                        - 195 564 262 
AREA                     392 384 560 394 
ARGUMENT                   -   -   -   - 
ARM                      192 592 608 593 
ARMED                      -   -   -   - 
ARMY                     317 543 555 578 
AROUND                     -   -   -   - 
ART                        - 440 529 493 
ARTERY                     -   -   -   - 
ARTICLE                  406 479 533 421 
ARTIST                     - 554 547 600 
AS                         - 158 586 224 
ASIDE                      -   -   -   - 
ASK                        -   -   -   - 
ASKING                     -   -   -   - 
ASPECT                   547 217 482 233 
ASSEMBLY                   -   -   -   - 
ASSIGNMENT                 -   -   -   - 
ASSISTANCE               464 288 534 348 
ASSOCIATED                 -   -   -   - 
ASSOCIATION                -   -   -   - 
ASSUME                     -   -   -   - 
ASSUMPTION                 -   - 521 257 
ASSURED                    -   -   -   - 
AT                         - 194 615 225 
ATLANTIC                   -   -   -   - 
ATMOSPHERE               517 385 540 444 
ATOMIC                     -   -   -   - 
ATTACK                     - 411 542 501 
ATTEMPT                  392 313 558 302 
ATTEND                     - 324 545 386 
ATTENTION                  -   -   -   - 
ATTITUDE                 481 265 553 321 
ATTORNEY                   -   -   -   - 
ATTRACTIVE                 -   -   -   - 
AUDIENCE                 425 515 511 555 
AUGUST                     -   -   -   - 
AUTHOR                   414 502 554 460 
AUTHORITY                  -   -   -   - 
AUTOMATIC                  -   -   -   - 
AUTOMOBILE               483 607 456 628 
AVAILABLE                  -   - 566 285 
AVENUE                   372 539 529 564 
AVERAGE                    -   - 579 297 
AVOID                      -   -   -   - 
AWARD                      -   -   -   - 
AWARE                      -   - 546 298 
AWAY                       - 257 573 272 
AXIS                       -   -   -   - 
B                          -   -   -   - 
BABY                       - 589 597 608 
BACK                     225 540 587 483 
BACKGROUND               400 383 540 427 
BAD                        - 308 592 388 
BAG                      217 603 634 570 
BALANCE                  367 366 545 429 
BALL                     150 615 575 622 
BALLET                     -   -   -   - 
BAND                     236 590 555 579 
BANK                       - 573 573 560 
BAR                        - 565 592 596 
BASE                     369 441 520 436 
BASIC                      -   - 533 271 
BASIS                      -   -   -   - 
BATTLE                     - 564 537 597 
BAY                      336 580 474 570 
BE                         - 225 613 274 
BEACH                      - 612 553 667 
BEAR                       - 585 526 572 
BEAT                       - 361 536 406 
BEAUTIFUL                  - 393 609 532 
BEAUTY                   344 336 561 513 
BECAME                     - 273 531 262 
BECAUSE                    - 196 604 244 
BECOME                     -   - 603 259 
BECOMING                   -   -   -   - 
BED                      169 635 636 635 
BEDROOM                  206 615 646 629 
BEEN                       - 215 567 222 
BEFORE                     - 261 583 255 
BEGAN                      -   - 593 251 
BEGIN                      -   -   -   - 
BEGINNING                311 318 593 359 
BEGUN                      -   -   -   - 
BEHIND                     -   - 603 371 
BEING                    383 276 568 323 
BELIEF                   447 270 554 328 
BELIEVE                    -   -   -   - 
BELOW                      -   - 566 317 
BENEATH                    -   -   -   - 
BENEFIT                    - 376 481 445 
BERLIN                     -   -   -   - 
BESIDE                     -   -   -   - 
BESIDES                    -   -   -   - 
BEST                       - 282 600 324 
BETTER                     -   - 633 274 
BETWEEN                    -   -   -   - 
BEYOND                     -   -   -   - 
BIBLE                      - 585 496 594 
BIG                        -   - 640 463 
BILL                     406 528 552 535 
BILLION                    -   -   -   - 
BIRTH                    328 471 527 532 
BIT                        - 392 460 432 
BITTER                     - 409 526 457 
BLACK                      - 470 603 589 
BLIND                      - 443 531 485 
BLOCK                    244 558 544 483 
BLOOD                    253 613 571 620 
BLUE                       - 459 593 569 
BOARD                      - 565 546 592 
BOAT                       - 637 584 631 
BOB                        -   -   -   - 
BODY                     267 568 610 614 
BOND                     491 403 454 380 
BOOK                     214 609 643 591 
BORN                       - 336 566 435 
BOSTON                     -   -   -   - 
BOTH                       - 322 598 298 
BOTTLE                     - 591 591 619 
BOTTOM                     -   - 587 436 
BOUGHT                     -   -   -   - 
BOUND                      -   -   -   - 
BOX                      192 597 599 591 
