"","conv","QuestionID","HTMLID","ParticipantID","QuestionnaireID","Answer"
"1","ES2001",893,"vraag01","PARTICIPANT1","pre","2"
"2","ES2001",894,"vraag02","PARTICIPANT1","pre","23"
"3","ES2001",895,"vraag03","PARTICIPANT1","pre","1"
"4","ES2001",896,"vraag04","PARTICIPANT1","pre","Full time student"
"5","ES2001",897,"vraag05","PARTICIPANT1","pre","4"
"6","ES2001",898,"vraag06","PARTICIPANT1","pre","6"
"7","ES2001",899,"vraag07","PARTICIPANT1","pre","5"
"8","ES2001",900,"vraag08","PARTICIPANT1","pre","4"
"9","ES2001",901,"vraag09","PARTICIPANT1","pre","3"
"10","ES2001",902,"vraag10","PARTICIPANT1","pre","2"
"11","ES2001",903,"vraag11","PARTICIPANT1","pre","3"
"12","ES2001",904,"vraag12","PARTICIPANT1","pre","5"
"13","ES2001",905,"vraag13","PARTICIPANT1","pre","60"
"14","ES2001",906,"vraag14","PARTICIPANT1","pre","General meetings - as in \""touch base\"" type. Basically updates from everyone about the progress of their tasks. The atmosphere is usually fairly relaxed, although focus is of huge importance."
"15","ES2001",907,"vraag15","PARTICIPANT1","pre","4"
"16","ES2001",908,"vraag16","PARTICIPANT1","pre","4"
"17","ES2001",909,"vraag17","PARTICIPANT1","pre","3"
"18","ES2001",910,"vraag18","PARTICIPANT1","pre","4"
"19","ES2001",911,"vraag19","PARTICIPANT1","pre","2048"
"20","ES2001",912,"vraag20","PARTICIPANT1","pre","16"
"21","ES2001",913,"vraag21","PARTICIPANT1","pre","32"
"22","ES2001",914,"vraag22","PARTICIPANT1","pre","16"
"23","ES2001",915,"vraag23","PARTICIPANT1","pre","2"
"24","ES2001",916,"vraag24","PARTICIPANT1","pre","2"
"25","ES2001",917,"vraag25","PARTICIPANT1","pre","3"
"26","ES2001",918,"vraag03_other","PARTICIPANT1","pre",""
"27","ES2001",919,"vraag15_other","PARTICIPANT1","pre",""
"28","ES2001",920,"vraag19_other","PARTICIPANT1","pre",""
"29","ES2001",921,"vraag20_other","PARTICIPANT1","pre",""
"30","ES2001",922,"vraag21_other","PARTICIPANT1","pre",""
"31","ES2001",923,"vraag22_other","PARTICIPANT1","pre",""
"32","ES2001",924,"vraag23_other","PARTICIPANT1","pre",""
"33","ES2001",925,"vraag01","PARTICIPANT3","pre","1"
"34","ES2001",926,"vraag02","PARTICIPANT3","pre","21"
"35","ES2001",927,"vraag03","PARTICIPANT3","pre","3"
"36","ES2001",928,"vraag04","PARTICIPANT3","pre","Computer Science"
